,SITE_ID,LATITUDE,LONGITUDE,r
0,1,-37.81517,144.97476,261.5444462303813
1,2,-37.81524,144.95256,321.65441713786925
2,3,-37.81239,144.9712,397.26718132719316
3,4,-37.816790000000005,144.96918,220.99474374189546
4,5,-37.81808,144.95692,211.9495464050623
5,6,-37.811269,144.957909,312.80164898960544
6,7,-37.809081,144.96893,374.3729700896569
7,8,-37.815461,144.962656,295.476533282357
8,9,-37.81285,144.955026,245.77349518209553
9,10,-37.816356,144.962313,258.7108055024392
10,11,-37.818071,144.957211,372.68797077705585
11,12,-37.818202,144.954367,295.547319758252
12,13,-37.814225,144.971971,258.14174080007575
13,14,-37.815975,144.955905,345.6551647487913
14,15,-37.815493,144.95671399999998,261.54395216229307
15,16,-37.81852,144.95714099999998,245.11096596850714
16,17,-37.817303,144.962344,337.45468520831935
17,18,-37.818162,144.959934,264.0698251537816
18,19,-37.813381,144.95961200000002,221.9522875978273
19,20,-37.812084000000006,144.967997,251.3432252838392
20,21,-37.818494,144.957705,313.6906124395356
21,22,-37.812122,144.97071,223.6585860249436
22,23,-37.811625,144.96491899999998,358.9702055882712
23,24,-37.814263,144.972105,214.26275530694653
24,25,-37.815549,144.966686,267.8607747360273
25,26,-37.818166,144.964831,313.30013282056166
26,27,-37.817384,144.959217,306.7126777650335
27,28,-37.814896000000005,144.971668,354.87020657044
28,29,-37.811126,144.96211599999998,331.04359991550285
29,30,-37.818656,144.956626,242.56518608523362
30,31,-37.817261,144.962515,399.4127932635944
31,32,-37.812845,144.968248,236.28877615479877
32,33,-37.811978,144.96238799999998,267.05917959004194
33,34,-37.812723,144.960164,315.02370173781446
34,35,-37.813463,144.973217,252.9176802760531
35,36,-37.810996,144.967095,340.7110452772266
36,37,-37.814989,144.96090800000002,345.1838584320155
37,38,-37.82091,144.955155,384.14349913002366
38,39,-37.820123,144.957552,329.2624323655674
39,40,-37.812899,144.959886,342.6523971088217
40,41,-37.811678,144.962783,342.2911383010193
41,42,-37.819576,144.95985,374.17434272936384
42,43,-37.817069,144.961828,247.8261035207144
43,44,-37.818218,144.96070500000002,237.85420936269892
44,45,-37.809885,144.963286,347.024976809129
45,46,-37.815196,144.96296999999998,225.47509568012137
46,47,-37.812799,144.954686,360.67073144266215
47,48,-37.811928,144.956414,211.27672085175408
48,49,-37.816011,144.972058,313.22322403793567
49,50,-37.814431,144.954653,215.71047869147435
50,51,-37.810382,144.971223,389.83997536967786
51,52,-37.816467,144.958334,252.56624444586384
52,53,-37.815777,144.970508,220.59908071549532
53,54,-37.812578,144.96531399999998,315.9232722144569
54,55,-37.81607,144.957254,218.95284828157423
55,56,-37.814398,144.96632,385.43196351174834
56,57,-37.813963,144.957301,247.0658038584723
57,58,-37.816158,144.96070600000002,274.44281277711525
58,59,-37.817779,144.95596899999998,301.99641997950295
59,60,-37.818018,144.964596,385.9698627470185
60,61,-37.812857,144.96843,323.7435734562642
61,62,-37.811627,144.965056,388.7102181572782
62,63,-37.816122,144.964421,318.9270807705961
63,64,-37.813447,144.966028,287.24064508591897
64,65,-37.815488,144.966824,288.14610909423646
65,66,-37.814765,144.969286,210.4061276245712
66,67,-37.812088,144.97083600000002,290.3089818939274
67,68,-37.816206,144.966634,227.90295924258749
68,69,-37.819471,144.960069,347.71183610101275
69,70,-37.810219,144.9618,297.57477365459476
70,71,-37.809538,144.964091,226.65994509514655
71,72,-37.812653000000005,144.956622,287.40708408647276
72,73,-37.811251,144.964157,290.5031532956506
73,74,-37.81354,144.971421,375.0904200089176
74,75,-37.809969,144.97078,379.77602499619405
75,76,-37.809264,144.971708,379.02274848368836
76,77,-37.812711,144.959971,208.0842496937097
77,78,-37.81653,144.961967,250.49244473260433
78,79,-37.815387,144.96881499999998,378.16349004222127
79,80,-37.81751,144.959237,274.2919494021221
80,81,-37.814257,144.96337,322.2165589587819
81,82,-37.809041,144.97182800000002,381.4519001582963
82,83,-37.820744,144.955485,232.3107924670099
83,84,-37.817483,144.959445,268.2523272260941
84,85,-37.812934000000006,144.952075,387.960882398678
85,86,-37.812343,144.954135,392.5306796729507
86,87,-37.811533,144.972614,253.59236919095318
87,88,-37.813573,144.97340400000002,313.31428539744445
88,89,-37.815793,144.958295,253.12830757909614
89,90,-37.818474,144.956805,291.01147879193854
90,91,-37.814395000000005,144.963537,269.3233205134295
91,92,-37.815891,144.958861,242.8693583067399
92,93,-37.815195,144.974409,351.13735213172424
93,94,-37.815371,144.973076,298.57196011507926
94,95,-37.818151,144.96081,239.47205239818135
95,96,-37.816299,144.95902,262.50972657921136
96,97,-37.814905,144.95491299999998,316.25339943634253
97,98,-37.816209,144.961635,360.2044023801292
98,99,-37.812379,144.956402,204.40501708154605
99,100,-37.816822,144.963209,343.5158222980133
100,101,-37.815309,144.969476,267.4723914948319
101,102,-37.809356,144.970729,292.18920409665014
102,103,-37.811313,144.972958,332.0363007663997
103,104,-37.810641,144.970534,254.219701416147
104,105,-37.810911,144.96268999999998,357.31669041613134
105,106,-37.810065,144.963281,329.55485335119204
106,107,-37.811398,144.972672,266.4572988364214
107,108,-37.816891,144.961957,290.43526481438926
108,109,-37.813545,144.971705,240.3538870788057
109,110,-37.814265,144.971685,238.65301867704014
