时刻t/s,用户覆盖率,重分配次数/次,已分配用户数,QoE值
0,0.8466666666666667,0,127,631.7986441581533
5,0.9733333333333334,0,146,729.9253211060487
10,0.9733333333333334,0,146,729.9253211060487
15,0.9733333333333334,0,146,729.9253211060487
20,0.9733333333333334,0,146,729.9253211060487
25,0.9733333333333334,0,146,729.9253211060487
30,0.9733333333333334,0,146,729.9253211060487
35,0.9733333333333334,0,146,729.9253211060487
40,0.98,0,147,734.924809606775
45,0.98,0,147,734.924809606775
50,0.98,0,147,734.924809606775
55,0.98,0,147,734.924809606775
60,0.98,0,147,734.924809606775
65,0.98,0,147,734.924809606775
70,0.98,0,147,734.924809606775
75,0.98,0,147,734.924809606775
80,0.98,0,147,734.924809606775
85,0.98,0,147,734.924809606775
90,0.98,0,147,734.924809606775
95,0.98,0,147,734.924809606775
100,0.98,0,147,734.924809606775
105,0.98,0,147,734.924809606775
110,0.98,0,147,734.924809606775
115,0.98,0,147,734.924809606775
120,0.98,0,147,734.924809606775
125,0.98,0,147,734.924809606775
130,0.98,0,147,734.924809606775
135,0.98,0,147,734.924809606775
140,0.98,0,147,734.924809606775
145,0.98,0,147,734.924809606775
150,0.98,0,147,734.924809606775
155,0.98,0,147,734.924809606775
160,0.98,0,147,734.924809606775
165,0.98,0,147,734.924809606775
170,0.98,0,147,734.924809606775
175,0.98,0,147,734.924809606775
180,0.98,0,147,734.924809606775
185,0.98,0,147,734.924809606775
190,0.98,0,147,734.924809606775
195,0.98,0,147,734.924809606775
200,0.98,0,147,734.924809606775
205,0.98,0,147,734.924809606775
210,0.98,0,147,734.924809606775
215,0.98,0,147,734.924809606775
220,0.98,0,147,734.924809606775
225,0.98,0,147,734.924809606775
230,0.98,0,147,734.924809606775
235,0.98,0,147,734.924809606775
240,0.98,0,147,734.924809606775
245,0.98,0,147,734.924809606775
250,0.98,0,147,734.924809606775
255,0.98,0,147,734.924809606775
260,0.98,0,147,734.924809606775
265,0.98,0,147,734.924809606775
270,0.98,0,147,734.924809606775
275,0.98,0,147,734.924809606775
280,0.98,0,147,734.924809606775
285,0.98,0,147,734.924809606775
290,0.98,0,147,734.924809606775
295,0.98,0,147,734.924809606775
300,0.98,0,147,734.924809606775
305,0.98,0,147,734.924809606775
310,0.9866666666666667,0,148,739.9242981075014
315,0.9866666666666667,0,148,739.9242981075014
320,0.9866666666666667,0,148,739.9242981075014
325,0.9866666666666667,0,148,739.9242981075014
330,0.9866666666666667,0,148,739.9242981075014
335,0.9866666666666667,0,148,739.9242981075014
340,0.9866666666666667,0,148,739.9242981075014
345,0.9866666666666667,0,148,739.9242981075014
350,0.9866666666666667,0,148,739.9242981075014
355,0.9866666666666667,0,148,739.9242981075014
360,0.9866666666666667,0,148,739.9242981075014
365,0.9866666666666667,0,148,739.9242981075014
370,0.9866666666666667,0,148,739.9242981075014
375,0.9933333333333333,0,149,744.9237866082277
380,0.9933333333333333,0,149,744.9237866082277
385,0.9933333333333333,0,149,744.9237866082277
390,0.9933333333333333,0,149,744.9237866082277
395,0.9933333333333333,0,149,744.9237866082277
400,0.9933333333333333,0,149,744.9237866082277
405,0.9933333333333333,0,149,744.9237866082277
410,0.9933333333333333,0,149,744.9237866082277
415,0.9933333333333333,0,149,744.9237866082277
420,0.9933333333333333,0,149,744.9237866082277
425,0.9933333333333333,0,149,744.9237866082277
430,0.9933333333333333,0,149,744.9237866082277
435,0.9933333333333333,0,149,744.9237866082277
440,0.9933333333333333,0,149,744.9237866082277
445,0.9933333333333333,0,149,744.9237866082277
450,0.9933333333333333,0,149,744.9237866082277
455,0.9933333333333333,0,149,744.9237866082277
460,0.9933333333333333,0,149,744.9237866082277
465,0.9933333333333333,0,149,744.9237866082277
470,0.9933333333333333,0,149,744.9237866082277
475,0.9933333333333333,0,149,744.9237866082277
480,0.9933333333333333,0,149,744.9237866082277
485,0.9933333333333333,0,149,744.9237866082277
490,0.9933333333333333,0,149,744.9237866082277
495,0.9933333333333333,0,149,744.9237866082277
