时刻t/s,用户覆盖率,重分配次数/次,已分配用户数,QoE值
0,0.77,0,154,766.1418423827724
5,0.93,0,186,929.9048611351019
10,0.965,0,193,964.9012806401862
15,0.965,0,193,964.9012806401862
20,0.965,0,193,964.9012806401862
25,0.965,0,193,964.9012806401862
30,0.965,0,193,964.9012806401862
35,0.97,0,194,969.9007691409125
40,0.97,0,194,969.9007691409125
45,0.97,0,194,969.9007691409125
50,0.97,0,194,969.9007691409125
55,0.97,0,194,969.9007691409125
60,0.97,0,194,969.9007691409125
65,0.975,0,195,974.9002576416389
70,0.975,0,195,974.9002576416389
75,0.975,0,195,974.9002576416389
80,0.975,0,195,974.9002576416389
85,0.975,0,195,974.9002576416389
90,0.975,0,195,974.9002576416389
95,0.975,0,195,974.9002576416389
100,0.975,0,195,974.9002576416389
105,0.975,0,195,974.9002576416389
110,0.975,0,195,974.9002576416389
115,0.975,0,195,974.9002576416389
120,0.975,0,195,974.9002576416389
125,0.975,0,195,974.9002576416389
130,0.975,0,195,974.9002576416389
135,0.975,0,195,974.9002576416389
140,0.98,0,196,979.8997461423652
145,0.98,0,196,979.8997461423652
150,0.98,0,196,979.8997461423652
155,0.98,0,196,979.8997461423652
160,0.98,0,196,979.8997461423652
165,0.98,0,196,979.8997461423652
170,0.98,0,196,979.8997461423652
175,0.98,0,196,979.8997461423652
180,0.98,0,196,979.8997461423652
185,0.98,0,196,979.8997461423652
190,0.98,0,196,979.8997461423652
195,0.98,0,196,979.8997461423652
200,0.98,0,196,979.8997461423652
205,0.98,0,196,979.8997461423652
210,0.98,0,196,979.8997461423652
215,0.98,0,196,979.8997461423652
220,0.98,0,196,979.8997461423652
225,0.98,0,196,979.8997461423652
230,0.98,0,196,979.8997461423652
235,0.98,0,196,979.8997461423652
240,0.98,0,196,979.8997461423652
245,0.98,0,196,979.8997461423652
250,0.98,0,196,979.8997461423652
255,0.98,0,196,979.8997461423652
260,0.98,0,196,979.8997461423652
265,0.98,0,196,979.8997461423652
270,0.98,0,196,979.8997461423652
275,0.98,0,196,979.8997461423652
280,0.98,0,196,979.8997461423652
285,0.98,0,196,979.8997461423652
290,0.98,0,196,979.8997461423652
295,0.98,0,196,979.8997461423652
300,0.98,0,196,979.8997461423652
305,0.98,0,196,979.8997461423652
310,0.98,0,196,979.8997461423652
315,0.98,0,196,979.8997461423652
320,0.98,0,196,979.8997461423652
325,0.98,0,196,979.8997461423652
330,0.98,0,196,979.8997461423652
335,0.98,0,196,979.8997461423652
340,0.98,0,196,979.8997461423652
345,0.98,0,196,979.8997461423652
350,0.98,0,196,979.8997461423652
355,0.98,0,196,979.8997461423652
360,0.98,0,196,979.8997461423652
365,0.98,0,196,979.8997461423652
370,0.98,0,196,979.8997461423652
375,0.98,0,196,979.8997461423652
380,0.98,0,196,979.8997461423652
385,0.98,0,196,979.8997461423652
390,0.98,0,196,979.8997461423652
395,0.98,0,196,979.8997461423652
400,0.98,0,196,979.8997461423652
405,0.98,0,196,979.8997461423652
410,0.98,0,196,979.8997461423652
415,0.98,0,196,979.8997461423652
420,0.98,0,196,979.8997461423652
425,0.98,0,196,979.8997461423652
430,0.98,0,196,979.8997461423652
435,0.98,0,196,979.8997461423652
440,0.98,0,196,979.8997461423652
445,0.98,0,196,979.8997461423652
450,0.98,0,196,979.8997461423652
455,0.98,0,196,979.8997461423652
460,0.98,0,196,979.8997461423652
465,0.98,0,196,979.8997461423652
470,0.98,0,196,979.8997461423652
475,0.98,0,196,979.8997461423652
480,0.98,0,196,979.8997461423652
485,0.98,0,196,979.8997461423652
490,0.98,0,196,979.8997461423652
495,0.98,0,196,979.8997461423652
